101,01,2
102,01,1
103,01,2
104,01,1
201,01,3
202,01,2
203,01,2
204,01,2
301,01,1
302,01,3
303,01,2
304,01,3
401,01,1
402,01,1
403,01,2
404,01,2
101,02,3
102,02,1
103,02,3
104,02,1
201,02,3
202,02,1
203,02,2
204,02,1
301,02,1
302,02,3
303,02,3
304,02,3
401,02,2
402,02,3
403,02,2
404,02,3
101,03,3
102,03,4
103,03,1
104,03,1
201,03,4
202,03,4
203,03,1
204,03,2
301,03,2
302,03,1
303,03,2
304,03,0
401,03,2
402,03,4
403,03,2
404,03,3
101,04,1
102,04,3
103,04,2
104,04,2
201,04,
202,04,3
203,04,2
204,04,4
301,04,2
302,04,2
303,04,1
304,04,3
401,04,1
402,04,
403,04,1
404,04,3
101,05,2
102,05,
103,05,
104,05,
201,05,
202,05,1
203,05,
204,05,
301,05,2
302,05,3
303,05,2
304,05,
401,05,1
402,05,3
403,05,4
404,05,4
101,06,4
102,06,1
103,06,2
104,06,3
201,06,2
202,06,4
203,06,5
204,06,1
301,06,1
302,06,2
303,06,1
304,06,2
401,06,3
402,06,3
403,06,
404,06,2
101,07,3
102,07,2
103,07,
104,07,
201,07,3
202,07,
203,07,
204,07,2
301,07,4
302,07,2
303,07,3
304,07,2
401,07,
402,07,2
403,07,2
404,07,3
101,08,4
102,08,
103,08,3
104,08,6
201,08,4
202,08,4
203,08,
204,08,2
301,08,2
302,08,
303,08,
304,08,3
401,08,2
402,08,2
403,08,2
404,08,1
101,09,3
102,09,2
103,09,2
104,09,
201,09,2
202,09,
203,09,2
204,09,
301,09,2
302,09,3
303,09,3
304,09,3
401,09,3
402,09,2
403,09,
404,09,1
101,10,2
102,10,
103,10,1
104,10,
201,10,
202,10,
203,10,3
204,10,6
301,10,1
302,10,3
303,10,
304,10,3
401,10,1
402,10,2
403,10,3
404,10,
101,11,2
102,11,
103,11,
104,11,5
201,11,
202,11,2
203,11,
204,11,1
301,11,2
302,11,3
303,11,
304,11,1
401,11,2
402,11,2
403,11,2
404,11,3
101,12,2
102,12,4
103,12,2
104,12,2
201,12,4
202,12,2
203,12,
204,12,4
301,12,2
302,12,2
303,12,1
304,12,3
401,12,
402,12,3
403,12,
404,12,3
